Sommet 1	 ======> Couleur : 1
Sommet 2	 ======> Couleur : 2
Sommet 3	 ======> Couleur : 3
Sommet 4	 ======> Couleur : 4
Sommet 5	 ======> Couleur : 1
Sommet 6	 ======> Couleur : 1
Sommet 7	 ======> Couleur : 2
Sommet 8	 ======> Couleur : 5
Sommet 9	 ======> Couleur : 6
Sommet 10	 ======> Couleur : 2
Sommet 11	 ======> Couleur : 3
Sommet 12	 ======> Couleur : 4
Sommet 13	 ======> Couleur : 1
Sommet 14	 ======> Couleur : 1
Sommet 15	 ======> Couleur : 1
Sommet 16	 ======> Couleur : 1
Sommet 17	 ======> Couleur : 2
Sommet 18	 ======> Couleur : 1
Sommet 19	 ======> Couleur : 1
Sommet 20	 ======> Couleur : 3
Sommet 21	 ======> Couleur : 2
Sommet 22	 ======> Couleur : 1
Sommet 23	 ======> Couleur : 2
Sommet 24	 ======> Couleur : 1
Sommet 25	 ======> Couleur : 1
Sommet 26	 ======> Couleur : 4
Sommet 27	 ======> Couleur : 2
Sommet 28	 ======> Couleur : 5
Sommet 29	 ======> Couleur : 3
Sommet 30	 ======> Couleur : 6
Sommet 31	 ======> Couleur : 4
Sommet 32	 ======> Couleur : 5
Sommet 33	 ======> Couleur : 7
Sommet 34	 ======> Couleur : 5
Sommet 35	 ======> Couleur : 3
Sommet 36	 ======> Couleur : 3
Sommet 37	 ======> Couleur : 4
Sommet 38	 ======> Couleur : 1
Sommet 39	 ======> Couleur : 5
Sommet 40	 ======> Couleur : 7
Sommet 41	 ======> Couleur : 3
Sommet 42	 ======> Couleur : 4
Sommet 43	 ======> Couleur : 2
Sommet 44	 ======> Couleur : 4
Sommet 45	 ======> Couleur : 5
Sommet 46	 ======> Couleur : 3
Sommet 47	 ======> Couleur : 7
Sommet 48	 ======> Couleur : 2
Sommet 49	 ======> Couleur : 6
Sommet 50	 ======> Couleur : 7
Sommet 51	 ======> Couleur : 1
Sommet 52	 ======> Couleur : 1
Sommet 53	 ======> Couleur : 3
Sommet 54	 ======> Couleur : 2
Sommet 55	 ======> Couleur : 4
Sommet 56	 ======> Couleur : 3
Sommet 57	 ======> Couleur : 5
Sommet 58	 ======> Couleur : 1
Sommet 59	 ======> Couleur : 1
Sommet 60	 ======> Couleur : 2
Sommet 61	 ======> Couleur : 3
Sommet 62	 ======> Couleur : 2
Sommet 63	 ======> Couleur : 1
Sommet 64	 ======> Couleur : 1
Sommet 65	 ======> Couleur : 8
Sommet 66	 ======> Couleur : 6
Sommet 67	 ======> Couleur : 4
Sommet 68	 ======> Couleur : 2
Sommet 69	 ======> Couleur : 1
Sommet 70	 ======> Couleur : 7
Sommet 71	 ======> Couleur : 1
Sommet 72	 ======> Couleur : 1
Sommet 73	 ======> Couleur : 1
Sommet 74	 ======> Couleur : 1
Sommet 75	 ======> Couleur : 2
Sommet 76	 ======> Couleur : 2
Sommet 77	 ======> Couleur : 2
Sommet 78	 ======> Couleur : 3
Sommet 79	 ======> Couleur : 4
Sommet 80	 ======> Couleur : 5
Sommet 81	 ======> Couleur : 6
Sommet 82	 ======> Couleur : 7
Sommet 83	 ======> Couleur : 8
Sommet 84	 ======> Couleur : 3
Sommet 85	 ======> Couleur : 9
Sommet 86	 ======> Couleur : 4
Sommet 87	 ======> Couleur : 1
Sommet 88	 ======> Couleur : 2
Sommet 89	 ======> Couleur : 3
Sommet 90	 ======> Couleur : 4
Sommet 91	 ======> Couleur : 1
Sommet 92	 ======> Couleur : 1
Sommet 93	 ======> Couleur : 1
Sommet 94	 ======> Couleur : 2
Sommet 95	 ======> Couleur : 3
Sommet 96	 ======> Couleur : 4
Sommet 97	 ======> Couleur : 1
Sommet 98	 ======> Couleur : 2
Sommet 99	 ======> Couleur : 3
Sommet 100	 ======> Couleur : 4
Sommet 101	 ======> Couleur : 5
Sommet 102	 ======> Couleur : 6
Sommet 103	 ======> Couleur : 1
Sommet 104	 ======> Couleur : 7
Sommet 105	 ======> Couleur : 8
Sommet 106	 ======> Couleur : 2
Sommet 107	 ======> Couleur : 9
Sommet 108	 ======> Couleur : 3
Sommet 109	 ======> Couleur : 10
Sommet 110	 ======> Couleur : 11
Sommet 111	 ======> Couleur : 4
Sommet 112	 ======> Couleur : 12
Sommet 113	 ======> Couleur : 13
Sommet 114	 ======> Couleur : 14
Sommet 115	 ======> Couleur : 15
Sommet 116	 ======> Couleur : 16
