Sommet 1	 ======> Couleur : 1
Sommet 2	 ======> Couleur : 2
Sommet 3	 ======> Couleur : 1
Sommet 4	 ======> Couleur : 3
Sommet 5	 ======> Couleur : 2
Sommet 6	 ======> Couleur : 1
Sommet 7	 ======> Couleur : 4
Sommet 8	 ======> Couleur : 3
Sommet 9	 ======> Couleur : 1
Sommet 10	 ======> Couleur : 2
Sommet 11	 ======> Couleur : 3
Sommet 12	 ======> Couleur : 1
Sommet 13	 ======> Couleur : 2
